Country,Sport,Year,Athletes,Gold,Silver,Bronze,Total_Medals,Events_Participated,GDP_Index,Population_Millions,Prev_Medals,Host,Medal_per_Athlete,Gold_Ratio,Participation_Rate,Medals_per_Million
Argentina,Shooting,2016,42.0,3.0,2.0,4.0,9.0,39.0,,806.5,9.0,0,0.2143,0.3333,1.0769,0.0112
Sweden,Gymnastics,2000,16.0,3.0,1.0,3.0,7.0,2.0,0.609,627.6,6.0,0,0.4375,0.4286,8.0,0.0112
Egypt,Cycling,2012,,1.0,1.0,2.0,4.0,15.0,0.308,1319.62,2.0,0,,0.25,,0.003
Indonesia,Shooting,2012,46.0,5.0,3.0,3.0,,26.0,0.136,1170.83,10.0,0,,,1.7692,
Cambodia,Boxing,2012,51.0,3.0,0.0,1.0,4.0,28.0,0.139,584.66,3.0,0,0.0784,0.75,1.8214,0.0068
Fiji,Athletics,2000,57.0,1.0,3.0,0.0,4.0,30.0,0.613,330.0,2.0,0,0.0702,0.25,1.9,0.0121
Bangladesh,Weightlifting,2008,50.0,0.0,0.0,1.0,1.0,37.0,,353.31,1.0,0,0.02,0.0,1.3514,0.0028
Cambodia,Weightlifting,2008,46.0,0.0,2.0,2.0,4.0,42.0,0.708,591.19,,0,0.087,0.0,1.0952,0.0068
Portugal,Athletics,2016,4.0,1.0,1.0,0.0,2.0,13.0,0.634,36.27,2.0,0,0.5,0.5,0.3077,0.0551
Costa Rica,Shooting,2000,27.0,3.0,4.0,1.0,8.0,,0.246,1385.23,9.0,0,0.2963,0.375,,0.0058
Bulgaria,Swimming,1996,8.0,5.0,5.0,3.0,13.0,31.0,0.691,182.63,14.0,0,1.625,0.3846,0.2581,0.0712
Germany,Boxing,2004,,,4.0,1.0,8.0,30.0,0.794,29.28,5.0,0,,,,0.2732
Iran,Shooting,2016,4.0,0.0,0.0,0.0,0.0,3.0,0.481,802.13,0.0,0,0.0,0.0,1.3333,0.0
Kenya,Swimming,2012,54.0,4.0,1.0,2.0,7.0,12.0,0.782,596.52,,0,0.1296,0.5714,4.5,0.0117
Argentina,Shooting,2020,41.0,4.0,3.0,2.0,9.0,20.0,0.862,448.43,,0,0.2195,0.4444,2.05,0.0201
Argentina,Boxing,2020,10.0,2.0,2.0,2.0,6.0,33.0,0.192,395.65,7.0,0,0.6,0.3333,0.303,0.0152
Dominican Republic,Gymnastics,2004,,3.0,1.0,3.0,7.0,38.0,0.705,216.09,,0,,0.4286,,0.0324
Australia,Cycling,2004,1.0,3.0,3.0,4.0,10.0,,0.947,351.46,12.0,0,10.0,0.3,,0.0285
Netherlands,Athletics,2016,27.0,,4.0,4.0,,27.0,,909.56,14.0,0,,,1.0,
Indonesia,Swimming,2008,53.0,,1.0,0.0,,,0.986,1259.32,0.0,0,,,,
Trinidad,Boxing,2000,47.0,1.0,2.0,1.0,4.0,39.0,0.741,,,0,0.0851,0.25,1.2051,
France,Athletics,2012,5.0,,4.0,1.0,,47.0,0.483,1170.55,,0,,,0.1064,
Serbia,Cycling,2004,41.0,0.0,1.0,0.0,1.0,38.0,,98.18,0.0,0,0.0244,0.0,1.0789,0.0102
Serbia,Judo,2024,10.0,0.0,2.0,0.0,2.0,43.0,0.293,376.42,4.0,0,0.2,0.0,0.2326,0.0053
Brazil,Athletics,1996,47.0,0.0,0.0,,,20.0,0.104,16.41,0.0,0,,,2.35,
Portugal,Cycling,1996,46.0,0.0,0.0,0.0,0.0,49.0,0.348,829.29,0.0,0,0.0,0.0,0.9388,0.0
Chile,Rowing,1992,9.0,0.0,0.0,0.0,0.0,21.0,0.151,1215.75,0.0,0,0.0,0.0,0.4286,0.0
Canada,Athletics,2012,17.0,1.0,0.0,0.0,1.0,,0.525,350.75,0.0,0,0.0588,1.0,,0.0029
FRANCE,Wrestling,2016,22.0,1.0,0.0,0.0,1.0,48.0,0.934,,3.0,0,0.0455,1.0,0.4583,
Portugal,Shooting,2020,23.0,2.0,3.0,1.0,6.0,,0.884,1230.38,6.0,0,0.2609,0.3333,,0.0049
South Africa,Shooting,1996,25.0,,2.0,2.0,4.0,12.0,0.541,740.59,3.0,0,0.16,,2.0833,0.0054
Malaysia,Boxing,2000,43.0,3.0,3.0,3.0,9.0,41.0,0.699,1175.64,6.0,0,0.2093,0.3333,1.0488,0.0077
Mongolia,Cycling,2016,34.0,2.0,0.0,0.0,2.0,25.0,0.902,788.54,3.0,0,0.0588,1.0,1.36,0.0025
Kenya,Wrestling,1996,,1.0,3.0,2.0,6.0,10.0,0.124,,4.0,0,,0.1667,,
South Africa,Cycling,2004,1.0,1.0,2.0,3.0,6.0,27.0,0.953,198.54,4.0,0,6.0,0.1667,0.037,0.0302
Egypt,Wrestling,2012,53.0,3.0,3.0,5.0,11.0,10.0,0.556,263.9,8.0,0,0.2075,0.2727,5.3,0.0417
Russia,Gymnastics,2016,6.0,0.0,,3.0,4.0,20.0,0.719,95.9,3.0,0,0.6667,0.0,0.3,0.0417
Italy,Gymnastics,2004,20.0,5.0,1.0,4.0,10.0,10.0,0.442,1219.91,7.0,0,0.5,0.5,2.0,0.0082
Hungary,Cycling,2020,,1.0,0.0,0.0,1.0,,0.559,342.68,3.0,0,,1.0,,0.0029
New Zealand,Swimming,2008,37.0,0.0,0.0,0.0,0.0,34.0,0.374,925.37,2.0,0,0.0,0.0,1.0882,0.0
Morocco,Judo,1996,50.0,2.0,1.0,4.0,7.0,19.0,0.256,499.06,5.0,0,0.14,0.2857,2.6316,0.014
Sri Lanka,Athletics,2012,6.0,3.0,4.0,2.0,9.0,17.0,0.46,81.29,8.0,0,1.5,0.3333,0.3529,0.1107
Belarus,Athletics,1996,26.0,1.0,,3.0,4.0,25.0,0.732,861.74,6.0,0,0.1538,0.25,1.04,0.0046
Iran,Weightlifting,2000,31.0,3.0,2.0,2.0,7.0,,0.277,616.06,,0,0.2258,0.4286,,0.0114
Jordan,Boxing,2012,23.0,2.0,0.0,3.0,5.0,17.0,0.624,1287.55,5.0,0,0.2174,0.4,1.3529,0.0039
germany,Weightlifting,2004,53.0,4.0,3.0,2.0,9.0,15.0,0.804,1355.19,11.0,0,0.1698,0.4444,3.5333,0.0066
Panama,Rowing,1992,42.0,1.0,0.0,1.0,2.0,6.0,,351.77,,0,0.0476,0.5,7.0,0.0057
Denmark,Rowing,2000,29.0,0.0,1.0,0.0,1.0,5.0,0.475,1022.87,2.0,0,0.0345,0.0,5.8,0.001
Czech Republic,Weightlifting,1996,37.0,0.0,1.0,0.0,1.0,6.0,0.522,636.77,3.0,0,0.027,0.0,6.1667,0.0016
Jordan,Swimming,2004,39.0,4.0,4.0,2.0,10.0,5.0,0.854,,9.0,0,0.2564,0.4,7.8,
South Africa,Shooting,2000,,3.0,,0.0,,20.0,0.332,,2.0,0,,,,
Chile,Weightlifting,1992,43.0,3.0,2.0,4.0,,15.0,0.382,737.94,10.0,0,,,2.8667,
Costa Rica,Boxing,2000,26.0,3.0,3.0,0.0,6.0,33.0,0.304,571.11,5.0,0,0.2308,0.5,0.7879,0.0105
Ukraine,Wrestling,2012,40.0,0.0,1.0,,,34.0,0.208,,1.0,0,,,1.1765,
Jordan,Swimming,1992,36.0,1.0,1.0,3.0,5.0,,,55.49,6.0,0,0.1389,0.2,,0.0901
Finland,Shooting,2004,,1.0,3.0,2.0,6.0,13.0,0.364,851.46,7.0,0,,0.1667,,0.007
Nigeria,Judo,2020,29.0,4.0,1.0,2.0,7.0,1.0,0.337,91.94,9.0,0,0.2414,0.5714,29.0,0.0761
Mongolia,Boxing,2008.0,,1.0,1.0,3.0,5.0,,0.977,482.77,6.0,0,,0.2,,0.0104
Armenia,Judo,1992,9.0,,1.0,4.0,8.0,14.0,0.87,1098.82,5.0,0,0.8889,,0.6429,0.0073
Romania,Wrestling,2020,62.0,0.0,0.0,0.0,0.0,7.0,0.234,1274.94,0.0,0,0.0,0.0,8.8571,0.0
Uzbekistan,Swimming,2012,38.0,2.0,2.0,1.0,5.0,16.0,0.369,1022.71,3.0,0,0.1316,0.4,2.375,0.0049
Armenia,Athletics,1996,43.0,0.0,,0.0,0.0,42.0,0.262,779.69,,0,0.0,0.0,1.0238,0.0
UAE,Judo,1996,9357.38775431287,,2.0,1.0,6.0,23.0,18.450856127206038,22.73,3.0,0,0.0006,,406.8429,0.264
CHINA,Cycling,2000,56.0,2.0,0.0,0.0,2.0,26.0,0.608,509.31,0.0,0,0.0357,1.0,2.1538,0.0039
Serbia,Weightlifting,2016,46.0,1.0,0.0,0.0,1.0,4.0,,1337.23,0.0,0,0.0217,1.0,11.5,0.0007
Sweden,Gymnastics,2024,11.0,4.0,1.0,,7.0,38.0,0.617,298.17,6.0,0,0.6364,0.5714,0.2895,0.0235
Hungary,Gymnastics,2012,32.0,2.0,1.0,2.0,5.0,36.0,0.738,710.63,3.0,0,0.1562,0.4,0.8889,0.007
Egypt,Athletics,2016,46.0,0.0,0.0,0.0,0.0,18.0,0.809,636.63,1.0,0,0.0,0.0,2.5556,0.0
Jamaica,Swimming,1992,6.0,,0.0,0.0,0.0,4.0,0.947,,0.0,0,0.0,,1.5,
Cambodia,Rowing,2000,20.0,,2.0,2.0,4.0,37.0,0.988,278.05,3.0,0,0.2,,0.5405,0.0144
Mongolia,Athletics,1992,30.0,0.0,,0.0,0.0,5.0,0.793,846.02,,0,0.0,0.0,6.0,0.0
Germany,Swimming,1996,5.0,1.0,,1.0,3.0,31.0,0.123,1050.46,0.0,0,0.6,0.3333,0.1613,0.0029
Bangladesh,Judo,1992,39.0,,3.0,0.0,4.0,17.0,0.948,856.43,3.0,0,0.1026,,2.2941,0.0047
Cuba,Judo,2004,57.0,0.0,0.0,0.0,0.0,2.0,0.469,353.96,,0,0.0,0.0,28.5,0.0
Nigeria,Weightlifting,2008,25.0,0.0,0.0,1.0,1.0,14.0,0.139,794.16,3.0,0,0.04,0.0,1.7857,0.0013
South Korea,Cycling,2004,,0.0,2.0,0.0,2.0,15.0,0.745,991.2,2.0,0,,0.0,,0.002
Sweden,Cycling,1992,6.0,0.0,0.0,0.0,0.0,,0.707,,2.0,0,0.0,0.0,,
Kenya,Judo,2016,27.0,0.0,0.0,,0.0,27.0,,1268.43,2.0,0,0.0,0.0,1.0,0.0
Czech Republic,Weightlifting,1992,37.0,2.0,2.0,,6.0,5.0,0.305,754.97,6.0,0,0.1622,0.3333,7.4,0.0079
South Africa,Gymnastics,2024,3.0,0.0,0.0,1.0,1.0,14.0,0.59,224.67,0.0,0,0.3333,0.0,0.2143,0.0045
Colombia,Boxing,2016,8.0,3.0,0.0,3.0,6.0,11.0,0.257,245.56,3.0,0,0.75,0.5,0.7273,0.0244
usa,Rowing,2000,5.0,3.0,3.0,4.0,10.0,11.0,0.129,615.83,10.0,0,2.0,0.3,0.4545,0.0162
Lebanon,Swimming,2000,,0.0,0.0,0.0,0.0,5.0,0.391,723.21,2.0,0,,0.0,,0.0
Latvia,Rowing,2012,47.0,1.0,0.0,0.0,1.0,4.0,0.805,1204.16,1.0,0,0.0213,1.0,11.75,0.0008
Latvia,Gymnastics,2008,6.0,0.0,0.0,1.0,1.0,29.0,0.621,,1.0,0,0.1667,0.0,0.2069,
Bulgaria,Wrestling,2000,48.0,0.0,1.0,0.0,1.0,,0.505,662.69,0.0,0,0.0208,0.0,,0.0015
Hungary,Cycling,2004,24.0,2.0,1.0,,3.0,21.0,0.473,355.92,,0,0.125,0.6667,1.1429,0.0084
Qatar,Rowing,2012,35.0,4.0,5.0,4.0,13.0,14.0,0.288,1293.41,13.0,0,0.3714,0.3077,2.5,0.0101
Norway,Gymnastics,2012,52.0,1.0,,3.0,,9.0,0.715,703.07,9.0,0,,,5.7778,
Iran,Boxing,2008,23.0,1.0,1.0,0.0,2.0,7.0,0.708,513.85,4.0,0,0.087,0.5,3.2857,0.0039
UK,Judo,2016,28.0,4.0,1.0,2.0,,35.0,0.857,1022.73,4.0,0,,,0.8,
Australia,Gymnastics,2024,31.0,1.0,0.0,0.0,1.0,16.0,0.332,43.88,1.0,0,0.0323,1.0,1.9375,0.0228
Nigeria,Wrestling,1992,9.0,0.0,,1.0,3.0,32.0,0.401,13.36,1.0,0,0.3333,0.0,0.2812,0.2246
Senegal,Cycling,2000,,,2.0,4.0,7.0,5.0,0.62,837.09,8.0,0,,,,0.0084
Norway,Shooting,2004,51.0,,0.0,0.0,0.0,22.0,0.686,1245.67,0.0,0,0.0,,2.3182,0.0
Morocco,Rowing,1992,49.0,0.0,2.0,2.0,4.0,,0.389,,5.0,0,0.0816,0.0,,
Austria,Gymnastics,2020,48.0,3.0,0.0,2.0,5.0,5.0,0.578,,4.0,0,0.1042,0.6,9.6,
Finland,Gymnastics,2000,14.0,5.0,4.0,3.0,12.0,34.0,0.978,781.44,10.0,0,0.8571,0.4167,0.4118,0.0154
China,Gymnastics,2000,55.0,1.0,1.0,0.0,,23.0,0.267,846.4,0.0,0,,,2.3913,
Italy,Cycling,2008,51.0,0.0,0.0,1.0,,37.0,0.155,,,0,,,1.3784,
Japan,Gymnastics,2016,8.0,0.0,0.0,,0.0,41.0,0.737,1009.49,1.0,0,0.0,0.0,0.1951,0.0
Latvia,Wrestling,2024,34.0,1.0,0.0,1.0,2.0,3.0,0.201,336.32,1.0,0,0.0588,0.5,11.3333,0.0059
Mexico,Athletics,2024,51.0,0.0,0.0,0.0,0.0,3.0,0.425,1157.08,0.0,0,0.0,0.0,17.0,0.0
Brazil,Wrestling,1992,19.0,3.0,1.0,1.0,5.0,,0.444,395.23,3.0,0,0.2632,0.6,,0.0127
Rwanda,Judo,2016,59.0,2.0,2.0,2.0,6.0,9.0,0.859,109.88,5.0,0,0.1017,0.3333,6.5556,0.0546
Slovakia,Shooting,1996,26.0,0.0,1.0,2.0,3.0,20.0,0.189,431.14,0.0,0,0.1154,0.0,1.3,0.007
France,Swimming,2024,4.0,2.0,2.0,1.0,5.0,16.0,0.604,924.65,7.0,0,1.25,0.4,0.25,0.0054
South Africa,Judo,2004,24.0,1.0,0.0,0.0,1.0,43.0,0.176,499.17,2.0,0,0.0417,1.0,0.5581,0.002
Croatia,Athletics,2008,45.0,4.0,1.0,4.0,,29.0,0.586,426.73,6.0,0,,,1.5517,
Egypt,Athletics,1996,54.0,0.0,0.0,0.0,0.0,48.0,0.92,497.45,0.0,0,0.0,0.0,1.125,0.0
Belgium,Boxing,2020,43.0,4.0,4.0,2.0,10.0,13.0,0.773,293.98,7.0,0,0.2326,0.4,3.3077,0.034
South Korea,Boxing,2000,30.0,0.0,2.0,0.0,2.0,34.0,0.473,462.88,4.0,0,0.0667,0.0,0.8824,0.0043
Armenia,Judo,2016,10.0,3.0,2.0,4.0,,40.0,0.796,1003.1,9.0,0,,,0.25,
Rwanda,Shooting,2004,17.0,1.0,,0.0,1.0,29.0,0.425,690.28,0.0,0,0.0588,1.0,0.5862,0.0014
Switzerland,Weightlifting,1996,38.0,,4.0,2.0,11.0,14.0,0.817,853.41,11.0,0,0.2895,,2.7143,0.0129
Greece,Swimming,2016,31.0,0.0,0.0,0.0,0.0,24.0,0.433,794.61,0.0,0,0.0,0.0,1.2917,0.0
New Zealand,Gymnastics,1996,36.0,1.0,2.0,3.0,,11.0,,1143.53,,0,,,3.2727,
Portugal,Swimming,2024,33.0,3.0,,1.0,8.0,33.0,0.388,999.13,10.0,0,0.2424,0.375,1.0,0.008
Zimbabwe,Athletics,1992.0,12.0,1.0,1.0,0.0,2.0,26.0,0.336,1013.97,4.0,0,0.1667,0.5,0.4615,0.002
Mexico,Shooting,1992,7.0,3.0,4.0,2.0,9.0,,0.277,656.19,11.0,0,1.2857,0.3333,,0.0137
Finland,Gymnastics,2012,15.0,3.0,4.0,2.0,9.0,11.0,0.529,1382.89,7.0,0,0.6,0.3333,1.3636,0.0065
Indonesia,Athletics,2012,1.0,0.0,0.0,0.0,0.0,48.0,0.425,803.13,0.0,0,0.0,0.0,0.0208,0.0
Kenya,Wrestling,2000,15.0,2.0,1.0,0.0,3.0,36.0,,111.35,5.0,0,0.2,0.6667,0.4167,0.0269
Estonia,Rowing,2008,15.0,0.0,0.0,0.0,0.0,37.0,,270.38,0.0,0,0.0,0.0,0.4054,0.0
Portugal,Boxing,2024,,2.0,,4.0,7.0,43.0,0.987,48.99,4.0,0,,0.2857,,0.1429
Latvia,Gymnastics,1996,5.0,0.0,0.0,0.0,0.0,48.0,0.248,872.65,0.0,0,0.0,0.0,0.1042,0.0
Mongolia,Gymnastics,2000,23.0,0.0,0.0,0.0,0.0,11.0,0.562,853.72,0.0,0,0.0,0.0,2.0909,0.0
Ukraine,Gymnastics,2012,28.0,2.0,1.0,3.0,6.0,20.0,0.933,1395.25,8.0,0,0.2143,0.3333,1.4,0.0043
Jordan,Gymnastics,1996,20.0,,0.0,0.0,0.0,12.0,0.669,1270.47,0.0,0,0.0,,1.6667,0.0
Belgium,Athletics,1992,1.0,0.0,0.0,1.0,1.0,39.0,0.609,22.42,2.0,0,1.0,0.0,0.0256,0.0446
Australia,Boxing,2024,19.0,2.0,3.0,3.0,8.0,11.0,0.656,1260.13,8.0,0,0.4211,0.25,1.7273,0.0063
Sweden,Swimming,2016,15.0,4.0,,,9.0,30.0,,757.82,9.0,0,0.6,0.4444,0.5,0.0119
Bolivia,Gymnastics,2008,58.0,0.0,0.0,0.0,,48.0,0.214,678.18,0.0,0,,,1.2083,
Hungary,Wrestling,2020,9.0,0.0,1.0,0.0,1.0,17.0,0.21,1151.61,0.0,0,0.1111,0.0,0.5294,0.0009
Slovakia,Judo,2004,30.0,1.0,0.0,0.0,1.0,25.0,0.524,1291.78,1.0,0,0.0333,1.0,1.2,0.0008
Russia,Boxing,1996,,4.0,4.0,2.0,10.0,22.0,0.507,901.37,7.0,0,,0.4,,0.0111
Senegal,Gymnastics,2012,1.0,3.0,5.0,2.0,10.0,36.0,0.644,882.4,,0,10.0,0.3,0.0278,0.0113
Germany,Wrestling,2004,30.0,0.0,0.0,0.0,0.0,28.0,0.792,964.39,0.0,0,0.0,0.0,1.0714,0.0
Iran,Boxing,2024,19.0,,0.0,0.0,0.0,9.0,0.715,110.53,0.0,0,0.0,,2.1111,0.0
Chile,Judo,1992,,1.0,2.0,2.0,5.0,41.0,0.325,853.73,3.0,0,,0.2,,0.0059
Lebanon,Gymnastics,1996,4.0,2.0,1.0,0.0,3.0,15.0,0.145,1245.03,2.0,0,0.75,0.6667,0.2667,0.0024
Belarus,Shooting,2008,41.0,1.0,1.0,0.0,2.0,20.0,0.706,1154.27,0.0,0,0.0488,0.5,2.05,0.0017
Belgium,Wrestling,2024,54.0,4.0,3.0,3.0,10.0,32.0,0.842,906.88,9.0,0,0.1852,0.4,1.6875,0.011
Georgia,Gymnastics,2020,30.0,0.0,0.0,0.0,0.0,49.0,0.918,1035.71,2.0,0,0.0,0.0,0.6122,0.0
India,Shooting,2012,25.0,1.0,3.0,2.0,6.0,45.0,0.474,532.1,7.0,0,0.24,0.1667,0.5556,0.0113
UAE,Athletics,2000,41.0,3.0,1.0,3.0,7.0,24.0,0.463,1117.27,6.0,0,0.1707,0.4286,1.7083,0.0063
Mongolia,Gymnastics,2016,19.0,0.0,0.0,1.0,1.0,27.0,0.72,,1.0,0,0.0526,0.0,0.7037,
Colombia,Shooting,2016,11.0,3.0,3.0,2.0,8.0,2.0,0.406,158.64,10.0,0,0.7273,0.375,5.5,0.0504
Senegal,Boxing,2000,43.0,3.0,2.0,1.0,6.0,9.0,0.947,256.87,5.0,0,0.1395,0.5,4.7778,0.0234
Malaysia,Athletics,2016,58.0,2.0,2.0,,6.0,4.0,0.252,1019.27,4.0,0,0.1034,0.3333,14.5,0.0059
Uzbekistan,Shooting,2020,40.0,0.0,0.0,0.0,0.0,30.0,0.156,,2.0,0,0.0,0.0,1.3333,
Zimbabwe,Athletics,2024,11.0,3.0,1.0,3.0,7.0,17.0,0.688,884.09,8.0,0,0.6364,0.4286,0.6471,0.0079
Spain,Wrestling,2020,52.0,4.0,1.0,1.0,6.0,24.0,0.195,50.76,6.0,0,0.1154,0.6667,2.1667,0.1182
Mongolia,Wrestling,2004,31.0,3.0,,4.0,10.0,20.0,0.517,145.86,,0,0.3226,0.3,1.55,0.0686
Malaysia,Cycling,2008,43.0,1.0,2.0,0.0,3.0,47.0,0.194,32.26,1.0,0,0.0698,0.3333,0.9149,0.093
Bangladesh,Cycling,1996,33.0,0.0,1.0,1.0,2.0,,0.364,101.42,4.0,0,0.0606,0.0,,0.0197
Mexico,Cycling,1992,42.0,4.0,1.0,2.0,,,0.438,1235.25,9.0,0,,,,
Sweden,Weightlifting,2024,,0.0,0.0,0.0,0.0,25.0,0.699,,2.0,0,,0.0,,
Fiji,Rowing,2012,18.0,0.0,2.0,0.0,2.0,13.0,0.421,196.66,4.0,0,0.1111,0.0,1.3846,0.0102
Cambodia,Judo,2004,54.0,2.0,2.0,2.0,6.0,3.0,0.379,1162.75,6.0,0,0.1111,0.3333,18.0,0.0052
Ethiopia,Athletics,2020,27.0,,0.0,1.0,2.0,29.0,0.502,1065.67,1.0,0,0.0741,,0.931,0.0019
Chile,Rowing,2016,8.0,1.0,1.0,0.0,2.0,29.0,0.602,531.87,2.0,0,0.25,0.5,0.2759,0.0038
Iran,Weightlifting,2012,25.0,0.0,2.0,1.0,3.0,,0.745,671.07,3.0,0,0.12,0.0,,0.0045
Mexico,Athletics,1992,50.0,,1.0,1.0,2.0,21.0,0.172,786.96,0.0,0,0.04,,2.381,0.0025
Jordan,Judo,2008,31.0,2.0,2.0,4.0,8.0,17.0,,261.12,10.0,0,0.2581,0.25,1.8235,0.0306
Nepal,Cycling,1992,28.0,3.0,2.0,2.0,7.0,49.0,0.174,777.5,5.0,0,0.25,0.4286,0.5714,0.009
Bulgaria,Weightlifting,2020,1.0,4.0,2.0,4.0,10.0,25.0,0.211,1244.23,12.0,0,10.0,0.4,0.04,0.008
Nepal,Athletics,2020,7.0,4.0,1.0,2.0,7.0,5.0,0.394,121.34,6.0,0,1.0,0.5714,1.4,0.0577
Norway,Gymnastics,2016,50.0,1.0,3.0,,6.0,11.0,0.355,,5.0,0,0.12,0.1667,4.5455,
Trinidad,Wrestling,1996,,,2.0,1.0,4.0,15.0,0.797,813.8,3.0,0,,,,0.0049
Bulgaria,Athletics,1996,25.0,5.0,3.0,4.0,,41.0,0.604,1051.27,9.0,0,,,0.6098,
Ukraine,Judo,2008,10.0,0.0,0.0,1.0,1.0,,0.114,576.07,0.0,0,0.1,0.0,,0.0017
USA,Weightlifting,2008,43.0,0.0,1.0,1.0,2.0,19.0,0.918,,0.0,0,0.0465,0.0,2.2632,
Bolivia,Cycling,2004,39.0,1.0,0.0,1.0,2.0,38.0,0.718,,4.0,0,0.0513,0.5,1.0263,
Kazakhstan,Gymnastics,2008,15.0,1.0,3.0,2.0,6.0,44.0,0.32,236.44,,0,0.4,0.1667,0.3409,0.0254
Hungary,Weightlifting,2012,57.0,0.0,1.0,0.0,1.0,46.0,0.746,156.42,0.0,0,0.0175,0.0,1.2391,0.0064
Italy,Cycling,2016,55.0,1.0,2.0,0.0,3.0,13.0,0.649,1314.81,2.0,0,0.0545,0.3333,4.2308,0.0023
Belarus,Rowing,1992,42.0,0.0,1.0,1.0,2.0,21.0,0.802,23.66,0.0,0,0.0476,0.0,2.0,0.0845
UK,Swimming,2000,5.0,,4.0,3.0,8.0,1.0,0.113,1232.63,10.0,0,1.6,,5.0,0.0065
Cuba,Wrestling,2020,17.0,0.0,1.0,1.0,2.0,15.0,,1005.36,4.0,0,0.1176,0.0,1.1333,0.002
Chile,Gymnastics,2024,2.0,4.0,2.0,4.0,10.0,1.0,0.648,1076.8,8.0,0,5.0,0.4,2.0,0.0093
Czech Republic,Gymnastics,2012,14.0,0.0,,0.0,0.0,28.0,0.894,170.95,0.0,0,0.0,0.0,0.5,0.0
Bolivia,Wrestling,2000,46.0,2.0,0.0,2.0,4.0,4.0,0.384,1225.39,6.0,0,0.087,0.5,11.5,0.0033
Trinidad,Shooting,1996,,3.0,3.0,3.0,9.0,37.0,0.88,762.4,8.0,0,,0.3333,,0.0118
Malaysia,Rowing,2004,52.0,3.0,2.0,2.0,7.0,29.0,0.946,470.64,5.0,0,0.1346,0.4286,1.7931,0.0149
Austria,Swimming,1996,13.0,1.0,1.0,2.0,4.0,18.0,0.671,1079.32,1.0,0,0.3077,0.25,0.7222,0.0037
Greece,Wrestling,2020,19.0,5.0,2.0,2.0,9.0,49.0,0.453,1223.87,10.0,0,0.4737,0.5556,0.3878,0.0074
Lithuania,Cycling,2012,46.0,3.0,3.0,0.0,6.0,10.0,0.796,552.47,5.0,0,0.1304,0.5,4.6,0.0109
Jamaica,Boxing,1996,56.0,1.0,1.0,0.0,2.0,16.0,0.823,523.74,2.0,0,0.0357,0.5,3.5,0.0038
Argentina,Rowing,2016,55.0,,2.0,3.0,,,0.966,632.49,8.0,0,,,,
Spain,Swimming,2004,30.0,,0.0,0.0,0.0,34.0,,467.66,2.0,0,0.0,,0.8824,0.0
Australia,Rowing,2016,35.0,0.0,0.0,0.0,0.0,24.0,0.562,730.01,1.0,0,0.0,0.0,1.4583,0.0
Estonia,Cycling,1992,46.0,3.0,2.0,5.0,10.0,8.0,0.908,870.01,8.0,0,0.2174,0.3,5.75,0.0115
Iran,Cycling,2024,,4.0,4.0,1.0,9.0,6.0,,493.14,6.0,0,,0.4444,,0.0183
Mexico,Judo,2020,48.0,2.0,2.0,1.0,5.0,48.0,0.898,932.11,5.0,0,0.1042,0.4,1.0,0.0054
Chile,Gymnastics,1992,8.0,4.0,3.0,5.0,12.0,43.0,0.774,460.96,9.0,0,1.5,0.3333,0.186,0.026
Indonesia,Swimming,2020,54.0,2.0,2.0,1.0,,42.0,0.33,495.49,7.0,0,,,1.2857,
Uzbekistan,Weightlifting,2004,53.0,5.0,,3.0,11.0,11.0,0.445,205.4,10.0,0,0.2075,0.4545,4.8182,0.0536
Egypt,Judo,2004,15.0,1.0,0.0,0.0,1.0,14.0,0.148,637.22,0.0,0,0.0667,1.0,1.0714,0.0016
Morocco,Cycling,2008,52.0,4.0,4.0,4.0,12.0,28.0,0.617,402.59,14.0,0,0.2308,0.3333,1.8571,0.0298
UAE,Swimming,2012,29.0,1.0,0.0,1.0,2.0,6.0,0.421,1274.67,4.0,0,0.069,0.5,4.8333,0.0016
Zimbabwe,Wrestling,2000,49.0,2.0,1.0,4.0,7.0,25.0,0.721,1225.03,9.0,0,0.1429,0.2857,1.96,0.0057
Bangladesh,Cycling,2016,34.0,1.0,,,2.0,33.0,0.312,103.4,4.0,0,0.0588,0.5,1.0303,0.0193
Portugal,Cycling,2024,,0.0,1.0,0.0,1.0,21.0,,270.1,0.0,0,,0.0,,0.0037
Colombia,Boxing,2004,,0.0,3.0,2.0,5.0,1.0,0.196,183.52,2.0,0,,0.0,,0.0272
Jordan,Judo,2024,33.0,3.0,2.0,4.0,9.0,36.0,0.234,1196.49,11.0,0,0.2727,0.3333,0.9167,0.0075
Croatia,Gymnastics,2000,51.0,1.0,0.0,0.0,1.0,2.0,0.613,499.84,2.0,0,0.0196,1.0,25.5,0.002
Czech Republic,Gymnastics,1996,13.0,0.0,0.0,0.0,0.0,3.0,0.95,968.34,0.0,0,0.0,0.0,4.3333,0.0
Mexico,Gymnastics,2016,34.0,1.0,0.0,0.0,,13.0,0.9,650.65,0.0,0,,,2.6154,
Nepal,Judo,1996.0,54.0,2.0,0.0,1.0,3.0,27.0,0.128,755.34,3.0,0,0.0556,0.6667,2.0,0.004
UK,Shooting,2016,24.0,4.0,3.0,3.0,10.0,14.0,0.444,338.44,,0,0.4167,0.4,1.7143,0.0295
Lithuania,Swimming,2020,2.0,0.0,1.0,0.0,1.0,,,,0.0,0,0.5,0.0,,
